text,label
Hello everyone I'm HR Manager Jane from Amazon. We have 50 slots open for online part-time workers. Earn 5000 daily! Join here: job-portal-ph.site,Gambling
Hi everyone I'm the hiring assistant for Shopee. Your profile was selected for our remote work program. Click to claim your sign-up bonus: shopee-hr.pw,Phishing
Good day everyone I'm from the global recruitment team. You are invited for an online interview. Provide bank details to process the application fee: hiring-secure.com,General Spam
Hello everyone I'm a recruiter for Tiktok. We need video reviewers to work from home. Flexible hours and great pay! Apply here: tiktok-work-rewards.club,General Spam
Hi guys I'm the operations lead. We are looking for people to test our new shopping app. We pay 1000 PHP per test. Join our Telegram to start: t.me/work-ph,General Spam
Hello everyone I'm from the regional labor office. We are offering government-funded job training with a daily allowance. Register your mobile here: gov-jobs.asia,General Spam
Hi everyone I'm a freelance talent scout. I found your number in our database. We have a part-time role that pays 500 per hour. Interested? Click: recruitment-portal.me,General Spam
Good morning everyone I'm Jane from the HR department. Your resume was approved for the assistant role. View the job description here: company-hr-docs.xyz,General Spam
Hello everyone I'm the manager of a new marketing firm. We are looking for online reviewers. Earn commissions instantly via GCash. Sign up now: review-earn.site,Bank Scam
Hi everyone I'm from the BDO hiring desk. We need encoders for the night shift. High salary and insurance. Register your details at this link: bdo-careers.pro,Bank Scam
Hello everyone I'm Mark from the crypto wealth team. I help people earn 10000 pesos daily through phone trading. Join our group: t.me/ph-crypto-signals,General Spam
Hi everyone I'm a customer service rep. You have an unclaimed prize from our anniversary draw. Verify your account to get the cash: rewards-claim.online,Phishing
Good day everyone I'm from the GCash security team. Your account is currently under review. Please update your KYC immediately here: gcash-verify-id.me,Bank Scam
Hello everyone I'm the head of the raffle committee. You won a brand new phone! Pay the shipping fee of 200 pesos to claim: phone-delivery.site,General Spam
Hi guys I'm the admin for the online gaming group. We have free credits for new players today. Register now and win big: 777-casino-ph.pw,Gambling
Hello everyone I'm from the PLDT loyalty program. You are eligible for a free bill rebate. Click the link to claim your 500 pesos credit: pldt-rewards.net,Phishing
Hi everyone I'm from the Shell fuels team. You won a 1000 pesos gas voucher. Redeem your code here before it expires: shell-voucher-win.top,Phishing
Good morning everyone I'm a representative from the health bureau. You are eligible for a medical allowance. Register your bank account here: health-aid.gov.ph.co,General Spam
Hello everyone I'm from the tech support unit. Your device is at risk of hacking. Download this protection app now: secure-cleaner-pro.icu,General Spam
Hi everyone I'm from the Facebook rewards center. You were chosen as the user of the month. Claim your surprise gift here: fb-user-rewards.me,Phishing
"okay lang ba makipag deal ako sayo? Cash in ka 100 ipapanalo kita 7k basta hati tayo 2k sakin 5k sayo ,kung sure k    ame :Allexa Brielle Lim   search:@officialalex09  (naka swimsuit na white )  ^&%",Gambling
"Good day I'm Ms.Ivie from multi banking personal cash loan I'd like to offer you personal loan.100k up to 5M Unsecured loan,and can get the loan as fast as 3 to 7 banking days .If you are interested please reply YES .  Thank you.",General Spam
[FEX] Your parcel P6115DDCDD7BA couldn't reach you. Please contact the branch at 9283170245 for any concerns.,General Spam
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smartk.bond/rewards",General Spam
"Your Landbank iAccess account is about to be deducted PHP3,456.00 for AGRIBANK PH services.    If this is not you, cancel it immediately at https://lbpiaccess.com-ph.click/i-revoke",Bank Scam
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smartst.click/rewards",General Spam
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smartlt.help/rewards",General Spam
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smart1.cyou/rewards",General Spam
"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://smartan.help/rewards",General Spam
"Globe reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon: https://globeci.cyou/rewards",General Spam
